,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,29.85,29.85,1
1,0,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,1,56.95,1889.5,0
2,0,0,0,0,2,1,0,0,1,1,0,0,0,1,0,1,1,53.85,108.15,1
3,0,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,2,42.3,1840.75,0
4,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,70.7,151.65,1
5,1,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,0,99.65,820.5,1
6,0,0,0,1,22,1,1,1,0,1,0,0,1,1,0,1,3,89.1,1949.4,1
7,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,1,29.75,301.9,0
8,1,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,0,104.8,3046.05,1
9,0,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,2,56.15,3487.95,0
10,0,0,1,1,13,1,0,0,1,0,0,0,0,1,0,1,1,49.95,587.45,1
11,0,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,3,18.95,326.8,0
12,0,0,1,0,58,1,1,1,0,0,1,0,1,0,1,0,3,100.35,5681.1,0
13,0,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,2,103.7,5036.3,1
14,0,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,0,105.5,2686.05,1
15,1,0,1,1,69,1,1,1,1,1,1,1,1,0,2,0,3,113.25,7895.15,0
16,1,0,0,0,52,1,0,2,0,0,0,0,0,0,1,0,1,20.65,1022.95,0
17,0,0,0,1,71,1,1,1,1,0,1,0,1,0,2,0,2,106.7,7382.25,0
18,1,0,1,1,10,1,0,0,0,0,1,1,0,0,0,0,3,55.2,528.35,0
19,1,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,0,90.05,1862.9,1
20,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,39.65,39.65,1
21,0,0,1,0,12,1,0,2,0,0,0,0,0,0,1,0,2,19.8,202.25,0
22,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,20.15,20.15,0
23,1,0,1,0,58,1,1,0,0,1,0,1,0,1,2,1,3,59.9,3505.1,1
24,0,0,1,1,49,1,0,0,1,1,0,1,0,0,0,0,3,59.6,2970.3,0
25,1,0,0,0,30,1,0,0,1,1,0,0,0,1,0,1,2,55.3,1530.6,1
26,0,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,0,99.35,4749.15,1
27,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,30.2,30.2,0
28,0,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,3,90.25,6369.45,1
29,1,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,1,64.7,1093.1,1
30,1,1,1,0,71,1,1,1,1,1,1,1,0,1,2,1,3,96.35,6766.95,1
31,0,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,3,95.5,181.65,1
32,1,0,1,1,27,1,0,0,1,1,1,1,0,0,1,0,1,66.15,1874.45,0
33,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,20.2,20.2,0
34,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.25,45.25,0
35,1,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,2,99.9,7251.7,0
36,0,0,0,0,5,1,0,1,0,0,0,0,0,1,0,1,0,69.7,316.9,1
37,1,0,0,0,46,1,0,1,0,0,1,0,0,1,0,1,3,74.8,3548.3,1
38,0,0,0,0,34,1,1,1,0,1,1,0,1,1,0,1,0,106.35,3549.25,1
39,1,0,0,0,11,1,1,1,0,0,1,0,1,1,0,1,2,97.85,1105.4,1
40,0,0,1,1,10,1,0,0,0,1,0,0,0,0,1,0,1,49.55,475.7,0
41,1,0,1,1,70,1,1,0,1,1,0,0,1,1,2,1,3,69.2,4872.35,1
42,1,0,1,1,17,1,0,2,0,0,0,0,0,0,1,0,1,20.75,418.25,0
43,1,0,0,0,63,1,1,0,1,1,1,1,1,1,2,1,3,79.85,4861.45,1
44,1,0,1,0,13,1,1,0,1,1,0,1,1,1,0,1,0,76.2,981.45,1
45,1,0,0,0,49,1,1,1,0,0,0,0,0,1,0,1,0,84.5,3906.7,1
46,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,49.25,97.0,0
47,1,0,0,0,2,1,0,1,0,0,0,0,1,1,0,1,0,80.65,144.15,1
48,0,0,0,0,52,1,1,0,1,0,0,1,1,1,2,1,3,79.75,4217.8,1
49,1,0,1,1,69,1,1,0,1,0,1,1,0,1,2,1,3,64.15,4254.1,1
50,1,1,0,0,43,1,1,1,0,1,0,0,1,1,0,1,0,90.25,3838.75,1
51,1,0,0,0,15,1,0,1,1,1,0,0,1,1,0,1,3,99.1,1426.4,1
52,1,1,1,0,25,1,1,0,1,0,0,1,1,1,0,1,3,69.5,1752.65,1
53,1,1,1,0,8,1,1,1,0,1,0,0,0,1,0,1,3,80.65,633.3,1
54,1,1,1,1,60,1,0,0,1,1,1,1,0,1,1,1,3,74.85,4456.35,1
55,0,1,0,0,18,1,1,1,0,0,0,0,1,1,0,1,0,95.45,1752.55,1
56,1,0,1,1,63,1,1,1,1,0,0,0,1,1,1,1,3,99.65,6311.2,1
57,0,1,1,1,66,1,1,1,0,1,1,1,1,1,1,1,0,108.45,7076.35,1
58,1,0,1,1,34,1,1,2,0,0,0,0,0,0,2,0,3,24.95,894.3,0
59,1,0,0,0,72,1,1,1,0,0,1,1,1,1,2,1,3,107.5,7853.7,1
60,1,0,1,0,47,1,1,1,0,0,1,0,1,1,0,1,0,100.5,4707.1,1
61,0,0,0,0,60,1,1,1,0,1,0,0,1,1,0,1,2,89.9,5450.7,1
62,0,0,1,0,72,0,0,0,1,1,1,0,0,0,2,0,2,42.1,2962.0,0
63,1,0,1,1,18,1,0,0,0,0,1,1,0,1,1,1,3,54.4,957.1,1
64,1,0,0,0,9,1,1,1,0,0,0,0,1,0,0,0,0,94.4,857.25,0
65,1,0,0,0,3,1,0,0,0,1,0,1,1,1,0,1,0,75.3,244.1,1
66,0,0,1,0,47,1,1,1,0,1,0,0,0,1,1,1,0,78.9,3650.35,1
67,1,0,0,0,31,1,0,0,0,1,1,1,1,0,2,0,1,79.2,2497.2,0
68,1,0,1,1,50,1,0,2,0,0,0,0,0,0,2,0,2,20.15,930.9,0
69,0,0,0,0,10,1,0,1,1,0,1,0,0,1,0,1,1,79.85,887.35,1
70,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,49.05,49.05,0
71,1,0,1,1,52,1,0,2,0,0,0,0,0,1,1,1,0,20.4,1090.65,1
72,0,1,1,1,64,1,1,1,1,0,1,1,1,1,2,1,2,111.6,7099.0,1
73,0,0,1,1,62,1,1,2,0,0,0,0,0,1,2,1,2,24.25,1424.6,1
74,1,0,0,1,3,1,0,0,1,0,0,1,0,1,0,1,2,64.5,177.4,1
75,1,1,0,0,56,1,1,1,1,1,1,0,1,0,1,0,0,110.5,6139.5,0
76,1,0,0,0,46,1,0,0,0,0,0,0,0,0,1,0,3,55.65,2688.85,0
77,1,0,1,1,8,1,0,0,1,1,0,0,0,0,0,0,1,54.65,482.25,0
78,0,1,0,0,30,1,0,0,1,1,0,0,1,1,0,1,0,74.75,2111.3,1
79,1,0,1,1,45,1,1,2,0,0,0,0,0,1,1,1,3,25.9,1216.6,1
